Testcase_ID,Test_Description,Subarea
45713,Clicking Link in Banner Message should open a new tab in browser instead of opening it in the current window,Banners
45714,Banner background color should also be updated once workspace theme is changed,Banners
45715,"Within first 3 times login, Turn off '""New_Features""' banner in 'Notifications -> Messages', go back to home page, '""New_Features""' banner message is NOT displayed anymore, turn it back on, the message will be displayed agai",Banners
45716,"After turning on/off the banner settings, do NOT go to home page directly, instead, go to other pages first, then go back to home page, the setting should also take effect.",Banners
45717,"Turn off 'New Feature' banner message for account A, then use account B to log in in the same phone, it should NOT display 'New Feature' banner message. Then user B turn on the banner message, and user A log in with the same phone, the setting should be turned on as well, and A should be able to see the 'New Feature' banner messages",Banners
45718,"Turn off 'New Feature' banner message for account A in phoneAA, then open phoneBB and sign in with account A, the setting should still be turned on by default and banner message should still be displayed unless you turn it off in the new terminal",Banners
45719,Click the link in Banner after printing a label,Banners
45720,"Turn on/off Non-'New Feature' banner message, and check if the banner messages are displayed correctly in home page.",Banners
45721,"Non-'New Feature' banner message should always be displayed in a rotation, no limited to first 3 times login.",Banners
45722,"Check Banner Rotation (multi banners of different types) for the first 3 times login when there are 'New Features' banner message, the order should follow 'Upcoming Features' -> 'New features' -> 'Promotion' -> 'Maintenance' -> 'Reminders'.",Banners
45723,"Check Banner Rotation (multi banners of different types) after the first 3 times login when there are 'New Features' banner message, the order should follow 'Upcoming Features' -> 'Promotion' -> 'Maintenance' -> 'Reminders', and 'New Features' banner message should NOT be displayed any more.",Banners
45724,"user has seen 'new feature' banner message A for 3 times, create another 'New Feature' banner message B in Console, then signs out and sign in again, user should be able to see message B for 3 times, still unable to see message A.",Banners
45725,"there are 2 or more 'new feature' banner messages, and user only see the first 'new feature' banner message, and log out the app, repeat 3 times, and login the account at 4th time, it should can display the second 'new feature' banner message",Banners
45726,"there are 10 banner messages defined in Console, at least 1 message for each type. User should be able to see each of the banner message when he signs into the system for the first 3 times, and still be able to see all the banner messages except 'new feature' from the 4th time login.",Banners
45727,"Define a banner message with both English and Portuguese translations, then switch preferred language in User profile settings page, and check banner message can be displayed correctly with the preferred language settings.",Banners
45728,"User A has seen 'New Feature' banners for 3 times, then use User B to sign in, B should be able to see banners, after signing out user B, then switch back to User A and check A is still unable to see 'New Features' banners.",Banners
45729,User link and remove Cloud Drive files with Special character or long file name.,Data Sources
45730,User login Zebra account and Link to Google Drive (Google account already logged in),Data Sources
45731,User login Facebook/Google/Apple account account and Link to Google Drive (Google account logged in).,Data Sources
45732,User login Google/Facebook/Apple account and Link to One Drive (Microsoft account logged in),Data Sources
45733,User Link to Cloud Drive - Search function,Data Sources
45734,Check linking unsupported file from Cloud will get the prompt message,Data Sources
45735,User login Zebra account and link files from One Drive (Microsoft account already logged in),Data Sources
45736,User remove linked files which linked from Google and One Drive,Data Sources
45737,User remove linked file which is linked to a label design in LDA page,Data Sources
45738,Update data of the linked file in Cloud Drive and print template with linked file.,Data Sources
45739,[Local] User upload all supported files from local,Data Sources
45740,[Local] User upload more than 20 files from local,Data Sources
45741,[Local] User remove local files which not linked to any template,Data Sources
45742,[Local] User remove local file which has been linked to any template,Data Sources
45743,[Local] User upload unsupported files,Data Sources
45744,[Local] User upload existing file,Data Sources
45745,[Local] User upload file with special characters,Data Sources
45746,[Local] User upload file with long name,Data Sources
45747,[Local] User upload file with file size exceed maximum allowed size,Data Sources
45748,Search files in Mydata list page works,Data Sources
45749,User login Zebra account and Link to Google Drive (Google account not login),Data Sources
45750,User login Facebook account and Link to Google Drive (Google account not login),Data Sources
45751,User login Apple account and Link to Google Drive (Google account not login),Data Sources
45752,User login Zebra account and link files from One Drive. (Microsoft account not login),Data Sources
45753,User login Facebook account and link files from One Drive. (Microsoft account not login),Data Sources
45754,User login Apple account and link files from One Drive. (Microsoft account not login),Data Sources
45755,User login Google account and link files from One Drive. (Microsoft account not login),Data Sources
45756,Locally stored contacts can be printed via mobile app,Data Sources
45757,Print design with mobile Camera,Data Sources
45758,User link to Cloud Drive (There is no file available in Cloud Drive),Data Sources
45759,Check repeat link same file from Google Drive/One Drive on Mobile App will show validate message,Data Sources
45760,Check X buton to close delete account process in Continue delete account page,Delete_Account
45761,Check X buton to close delete account process in Account final confirm dialog,Delete_Account
45762,Check Cancel delete account process in Continue delete account page,Delete_Account
45763,Check user process delete account and login again Final delete pop up click cancel will stop all the delete process,Delete_Account
45764,Check delete user and continue will auto logout and relogin will auto pop up Final delete dialog and click delete user will deleted success and auto logout,Delete_Account
45765,Check delete registered user with oneline printer and offline printer succss and printers will decomission,Delete_Account
45766,Check delete Google user with an offline printer and relogin,Delete_Account
45767,Check delete Facebook user success with an online printer and relogin,Delete_Account
45768,Check delete Apple user success without printer and relogin,Delete_Account
45769,Check delete Zebra account success and relogin in Mobile app Need accept EULA and all data cleared(My Designs/My Data),Delete_Account
45770,Check delete accunt success and login the deleted account on Web Portal need accept EULA and all data cleared(My Designs/My Data),Delete_Account
45771,Check delete account with printer success and then login the deleted account on windows printer tools success,Delete_Account
45772,"Check Account delete successfully, Web Portal and Printer Tools and mobile app will auto-logout",Delete_Account
45773,"Check device A process delete account and continue, login with device B will not pop up final delete notification",Delete_Account
45774,"Check user process delete account and login again Final delete pop up, force quit app and login in again within 1 hour will show Final delete dialog and delete success",Delete_Account
45775,Check user process delete account and login again switch to other app within 1 hour and switch back click Delete button will delete success,Delete_Account
45776,"Check user login delete and continue auto logout, lock screen with 1 hour then unlock to login and continue delete",Delete_Account
45777,"Check user login delete and continue auto logout, login with another user logout and login continue delete within 1 hour",Delete_Account
45778,"Delete fail:Check user process delete account and login again Final delete pop up, lock device screen for 1 hour, unlock and click delete",Delete_Account
45779,"Check login same user with Phone A and Phone B, delete and confirm auto logout from A&B then re-login in with A &B, check both device pop up Final Delete dialog, confirm delete from Phone A, check Phone B auto logout",Delete_Account
45780,Delete fail:User login in delete and confirm auto logout then sleep phone for 1 hour then login confrim delete,Delete_Account
45781,Delete fail:User login in delete and confirm auto logout then login another user for 1 hour then logout and login continue delete,Delete_Account
45782,Delete fail:User login in delete and confirm auto logout then force quite App for 1 hour then reopen and login continue delete,Delete_Account
45783,Delete a user fail and user can be deleted again with the same device,Delete_Account
45784,"Check delete a user with an offline printer then login the user in Web Portal, turn on printer check printer not show in web portal",Delete_Account
45785,"Check Account delete and can login again, check user setting set to default except First Name/Last Name/Email",Delete_Account
45786,Delete Fail: User login and delete account when in poor network or network disconnect,Delete_Account
45787,Check delete user success and try register with the deleted account would fail,Delete_Account
45788,Check delete user success and can reset the deleted account password success,Delete_Account
45789,Verify mobile app help menu options.,Help
45790,"Check UI for auto label feed setting , default value is enabled.",FeedOn_HeadClose
45791,"Check when printer offline status, change Feed On Head Close value cannot be changed",FeedOn_HeadClose
45792,"check update printer ""Feed on Cover Close"" value, delete printer but not decomission, restart printer , setting will not set to default",FeedOn_HeadClose
45793,check the notification list should be synchronization at 3 platform,Notifications
45794,check the notification can be dismissed by click 'dismiss' button at notification page,Notifications
45795,check the notification page would display all generated notifications unless delete the app,Notifications
45796,"upload and delete the picture for the zebra account via ""Photo Gallery""",User Settings
45797,"upload and delete the picture for the non-zebra account via ""Camera""",User Settings
45798,check cancel feature of uploading account picture process,User Settings
45799,check mobile app not able to install in android 8.0 and 8.0- devices,App_Settings
45800,Check Non Zebra User Account can update its user account profile,User Settings
45801,"Check in print preview page, input value of textbox the keyboard will not auto disappear",Template_Management
45802,check Mobile App login page will not time out within 30mins(29mins),Social_Login
45803,"Error Handling-Check Print design with paper out printer(common design, my design, Print Test Page, Reprint Last Label)will show waring toast",Printer_ Management
45804,"Error Handling-Check Print design with the offline printer(common design, my design,Print Test Page, Reprint Last Label)will show waring toast",Printer_ Management
45805,"Error Handling-Check Print design with the head open printer(common design, my design, Print Test Page, Reprint Last Label)will show waring toast",Printer_ Management
45806,"Error Handling-Check sharing pdf to ZSB app when the printer is in error status(offline, media out, paper out)will show waring toast",PDF_Printing
45807,Check login mobile app and then switch mobile device network connection re-enter mobile app will still work without issue,Device_Network
45808,PDF Print: User NOT login share a PDF to ZSB serial print out then share an other PDF to ZSB serial and print out,PDF_Printing
45809,Share template PDF files to ZSB Series and print out (ZSB series in different pages),PDF_Printing
45810,the printing preview page can be rotated on tablet,PDF_Printing
45811,the end digit should be bigger than the begin digit when choosing Custom radio box,PDF_Printing
45812,Check can share a big size file to ZSB Serial and display with out any issue,PDF_Printing
45813,Check can share PDF file to ZSB Serial and can edit and print out with different printer,PDF_Printing
45814,Check can share PDF to ZSB serial and login with social media account success,PDF_Printing
45815,change cropper window direction for the pdf file has more than 1 label (apply to current),PDF_Printing
45816,change cropper window direction for the pdf file has more than 1 label (apply to all),PDF_Printing
45817,change cropper window chosen area for the pdf file has more than 1 label (apply to current),PDF_Printing
45818,change cropper window chosen area for the pdf file has more than 1 label (apply to all),PDF_Printing
45819,change cropper window direction and chosen area for the pdf file has more than 1 label (apply to current),PDF_Printing
45820,change cropper window direction and chosen area for the pdf file has more than 1 label (apply to all),PDF_Printing
45821,check cancle button on the Edit page,PDF_Printing
45822,change cropper window direction for the pdf file only has 1 label (apply to all/Current),PDF_Printing
45823,change cropper window chosen area for the pdf file only has 1 label (apply to all/Current),PDF_Printing
45824,change cropper window direction and chosen area for the pdf file only has 1 label (apply to all/Current),PDF_Printing
45825,Check printing preview page can update info when changing printer status and cartridge,PDF_Printing
45826,"Mulit-page PDF share to ZSB Serial, select all pages, check all pages can print out success",PDF_Printing
45827,"Mulit-page PDF share to ZSB Serial, select current page, check current page can print out success",PDF_Printing
45828,"Mulit-page PDF share to ZSB Serial, select Custom and select a range, check selected pages can print out success",PDF_Printing
45829,"about 500-pages PDF share to ZSB Serial, select Custom and select a range, check page number show correnct can select a valid range",PDF_Printing
45830,"One Page PDF share to ZSB Serial,select Custom and select a range, check range show 1 to 1 and not able to change",PDF_Printing
45831,"With no printer added, share pdf to ZSB serial, check printer preview display",PDF_Printing
45832,"With one printer added Share PDF to ZSB Serial, check printer default selected, printer status will displayed",PDF_Printing
45833,"With multi printers added, share PDF to ZSB Serial, check user can select different printer to print",PDF_Printing
45834,"With ZSB mobile app installed,open Third Party App click Share button, check ""ZSB Serial"" in app list",PDF_Printing
45835,"Opened and login in Mobile App, From Third App open PDF share to ZSB Serial will open ZSB Serial and show print preview page",PDF_Printing
45836,"Not login Mobile App, from Third App open PDF file share to ZSB Mobile App , ZSB Mobile app will open login page after login success will show print Preview page",PDF_Printing
45837,"ZSB Serial login but not run on back ground, from Third App open PDF file share to ZSB Mobile App , ZSB Mobile app will open login page after login success will show print Preview page",PDF_Printing
45838,"Open PDF file share to ZSB Serial, check Print preview page display informat show correct",PDF_Printing
45839,"Open PDF file share to ZSB Serial, check print preview page can preview different page(Preview / Next button to switch page to view)",PDF_Printing
45840,"Open PDF file with Adobe Reader share to ZSB Serial, print Preview and print out then Open another PDF file in Adobe reader Share to ZSB Serail",PDF_Printing
45841,"Open PDF file with Adobe Reader share to ZSB Serial, print Preview and print out then Open another PDF file from Files/Google Drive/ One Drive Share to ZSB Serial",PDF_Printing
45842,"Open Landscape view PDF file and share to ZSB Serial, check preivew page show correct",PDF_Printing
45843,"Open PDF file contains both portait and landscpage pages, check preivew page show correct",PDF_Printing
45844,"Share a 4''x6 '' size pdf to ZSB Serial and print out with 4""x6"" media,check the print out label content is as expected",PDF_Printing
45845,"Printer in Error status, Share a PDF to ZSB serial and keep default setting and print one copy will pop up error dialog",PDF_Printing
45846,"Printer in Error status, Share a PDF to ZSB serial and click edit label will pop up error dialog",PDF_Printing
45847,"Share a PDF to ZSB serial, check the default print copies value is 1, and can update copies to a valid value print out correct copies",PDF_Printing
45848,"Share a PDF to ZSB serial, check in print preview page, user input invalid value it will auto change to valid value",PDF_Printing
45849,"After updated print Copies in print preview page, the total labels would print out would auto update",PDF_Printing
45850,"""Preview Feature"" popup as a dismissible text box",PDF_Printing
45851,click back button on the printing preview page would navigate to the Redirect calling App,PDF_Printing
45852,image file cannot share to ZSB serial,PDF_Printing
45853,Check invalid PDF would fail share to ZSB serial,PDF_Printing
45854,the cropper window is resized after switching to a printer with a different cartridge size,PDF_Printing
45855,Verify create a brand new user with a registered user in Mobile App.,Registration
45856,Verify user did not enter verification within 10 mins will need to re-register again in Money Badger Mobile App.,Registration 2.0
45857,Verify registration entry field when creating a brand new user with unregistered user in Mobile App.,Registration 2.0
45858,Verify create a brand new user with unregistered user in Mobile App,Registration 2.0
45859,Verify sign in with invalid email using Mobile App.,Social_Login
45860,Verify sign in as zebra user in Mobile App.,Social_Login
45861,Verify sign in sign out with already login registered google account (Non-SMB database) with Money Badger in Mobile App.,Social_Login
45862,Verify sign in sign out with registered google account (Non-SMB database) in Money Badger Web Portal.,Social_Login
45863,Verify sign in sign out with registered facebook account (Non-SMB database) in Mobile App.,Social_Login
45864,Verify user log out from 1 client shall NOT impact the sessions on other mobile devices.,Social_Login
45865,Verify user can login with multiple different devices and different Money Badger application and each session will not affect the others.,Registration
45866,Verify reset password for external email user in Mobile App.,Registration 2.0
45867,Verify zebra user exceeded the number of attempt to reset password in Mobile App (Optional).,Registration 2.0
45868,Verify reset password for zebra user in Mobile App.,Registration 2.0
45869,Verify Order Model Labels links in Money Badger Mobile App.,Help
45870,Verify the SSO timeout in Money Badger Mobile App (Optional).,SSO_Token_Renewal
45871,Verify sign in sign out with registered Apple account (Non-SMB database) in Money Badger Mobile App,Social_Login
45872,Check Mobile App login page will timeout out of 30mins(31mins).,Social_Login
45873,PDF Print: Print a small size design then share a PDF to ZSB serial print out,PDF_Printing
45874,Check the version number displays well on different OS,App_Settings
45875,Fresh Install the app with apk/or from Google Store (Android) or from test flight/Apple Store (iOS),Mini Regression
45876,Check basic functions work well after upgrading,Mini Regression
45877,Verify create a brand new user with unregistered user in Mobile App.,Registration
45878,"Verify sign in as zebra, check link and delete one/google drive file works well",Data Sources
45879,"Verify sign in as non-zebra, check link and delete one/google drive file works well",Data Sources
45880,"Verify sign in with non-zebra account, check the design linked different format file from local can be printed out successfully",Template_Management
45881,"Verify sign in with social account, check the design linked different format file from Google Drive can be printed out successfully",Template_Management
45882,"Verify sign in with non-Zebra account, check the design linked different format file from One Drive can be printed out successfully",Template_Management
45883,Verify sign in sign out with registered social accounts in Mobile App.,Social_Login
45884,Add a printer- Out of the box user experience,Add_Printer
45885,Add a printer- use a printer which has ever been registered before and require a decommission.,Add_Printer
45886,Check Mobile App can display correct printer status and notifications when printer status updates,Printer_ Management
45887,User modify the printer's darkness setting and perform test print,Printer_ Management
45888,Check user can delete a printer from Mobile App,Printer_ Management
45889,Check user can upload or link file to My Data,Data Sources
45890,Print template with static information in Recently Printed Template list,Template_Management
45891,Print multiple copies of template with variable data in Workspace,Template_Management
45892,Delete template in Workspace,Template_Management
45893,View Zebra defined categories in Common Designs,Template_Management
45894,View list of Zebra templates in Common Designs,Template_Management
45895,Print Zebra templates after Copy the template which needs to upload a picture from Library to Workspace (eg: Address->AddressWithIcon; Small Multipurpose->pickImage),Template_Management
45896,Print a label from Common Design (need to cover at least 1 template from each of the common design category).,Template_Management
45897,Adding New network: Add Essids by using another phone,Device_Network
45898,Print Template when Google Contacts is updated,Template_Management
45899,Print template when Office365 Contacts is updated,Template_Management
45900,"Update Auto label feed setting(enable), check setting sync in mobile and web portal, open and close printer cover, then print a test label",FeedOn_HeadClose
45901,"Update Auto label feed setting(disable), check setting sync in mobile and web portal, open and close printer cover, then print a test label",FeedOn_HeadClose
45902,View list of Recently Printed Designs when no design is printed,Template_Management
45903,View list of Recently Printed Designs after printing in My Designs,Template_Management
45904,View list of Recently Printed Designs after printing more than 6 different designs,Template_Management
45905,View list of Recently Printed Designs after copying Zebra design and printing on My Designs,Template_Management
45906,View list of Recently Printed Designs after printing Zebra design,Template_Management
45907,Check UI of Recently Printed Designs,Template_Management
45908,View list of Recently Printed Designs when printer is not ready for printing,Template_Management
45909,View list of Recently Printed Designs in Web Portal after printing in Mobile App,Template_Management
45910,View list of Recently Printed Designs when mobile device lost network connection,Template_Management
45911,Print design with static information in My Designs and Recently Printed Designs,Template_Management
45912,Print design with variable data without data source in My Designs,Template_Management
45913,Print design with variable data without data source in Recently Printed Labels,Template_Management
45914,Print multiple copies of design with static information in My Designs and Recently Printed Designs,Template_Management
45915,Print multiple copies of design with variable data without data source in My Designs and Recently Printed Designs,Template_Management
45916,Print design with label size smaller than the cartridge size inserted to the printer,Template_Management
45917,Print design with label size bigger than the cartridge size inserted to the printer,Template_Management
45918,Print design using 2 different printers,Template_Management
45919,Print duplicated design in My Designs,Template_Management
45920,Print design with special characters,Template_Management
45921,Print design when printer is offline.,Template_Management
45922,Print design with more than 10 elements to be filled at print time,Template_Management
45923,Click Print back without printing design in My Designs,Template_Management
45924,Click Print back without printing design in Recently Printed,Template_Management
45925,Print copies more than the labels left in the printer,Template_Management
45926,Rename design using unique name in My Designs.,Template_Management
45927,Rename design using unique name in Recently Printed,Template_Management
45928,Rename design in My Designs using same name from Zebra defined designs,Template_Management
45929,Rename design in Recently Printed using same name from Zebra defined designs,Template_Management
45930,Rename design in My Designs using same name from user's designs,Template_Management
45931,Rename design in Recently Printed using same name from user's designs,Template_Management
45932,Rename design in My Designs using the same name used by other users,Template_Management
45933,Rename design in Recently Printed using the same name used by other users,Template_Management
45934,Rename design using invalid names,Template_Management
45935,Cancel renaming of design in My Designs,Template_Management
45936,Cancel renaming of design in Recently Printed,Template_Management
45937,Rename Zebra defined designs - NOT allowed,Template_Management
45938,Rename design with special characters,Template_Management
45939,Check updated name in Mobile App after renaming design via Web Portal,Template_Management
45940,Rename design in My Designs when mobile device lost network connection,Template_Management
45941,Rename design in Recently Printed when mobile device lost network connection,Template_Management
45942,Duplicate design using default name in My Designs,Template_Management
45943,Duplicate design using default name in Recently Printed,Template_Management
45944,Duplicate design using unique name in My Designs,Template_Management
45945,Duplicate design using unique name in Recently Printed,Template_Management
45946,Duplicate design in My Designs using same name from user's designs,Template_Management
45947,Duplicate design in Recently Printed using same name from user's designs,Template_Management
45948,Duplicate design in My Designs same name from Zebra defined designs,Template_Management
45949,Duplicate design in Recently Printed same name from Zebra defined designs,Template_Management
45950,Duplicate a duplicated design in My Designs,Template_Management
45951,Duplicate a duplicated design in Recently Printed,Template_Management
45952,Duplicate design using invalid names,Template_Management
45953,Duplicate design with special characters,Template_Management
45954,Check duplicated design in Web Portal after duplicating design via Mobile App,Template_Management
45955,Cancel duplicating of design in My Designs,Template_Management
45956,Cancel duplicating of design in Recently Printed,Template_Management
45957,Delete design in My Designs,Template_Management
45958,Delete design in Recently Printed.,Template_Management
45959,Delete Zebra defined designs - NOT allowed,Template_Management
45960,Check deleted design in Web Portal after deleting design via Mobile App,Template_Management
45961,Delete design from Copy to My Designs,Template_Management
45962,Delete design in My Designs when mobile device lost network connection,Template_Management
45963,Delete design in Recently Printed when mobile device lost network connection,Template_Management
45964,View list of designs in My Designs when no design in the user account,Template_Management
45965,Check UI of My Designs design list,Template_Management
45966,Scroll design list in My Designs with more than 100 designs,Template_Management
45967,View Zebra defined categories in Common Designs,Template_Management
45968,View list of Zebra designs in Common Designs,Template_Management
45969,Print Zebra designs after Copy to My Designs- - Address category,Template_Management
45970,Print Zebra designs after Copy to My Designs - Barcode category.,Template_Management
45971,Print Zebra designs after Copy to My Designs - File Folder category,Template_Management
45972,Print Zebra designs after Copy to My Designs - Jewelry category,Template_Management
45973,Print Zebra designs after Copy to My Designs - Multipurpose category,Template_Management
45974,Print Zebra designs after Copy to My Designs - Multipurpose/Name tag category,Template_Management
45975,Print Zebra designs after Copy to My Designs - Shipping category,Template_Management
45976,Search designs in My Designs - input text that does not match any of the user's designs,Template_Management
45977,Search designs in My Designs - input text that matches one of the user's designs,Template_Management
45978,Search designs in My Designs - input keyword that matches more than 5 of the user's designs,Template_Management
45979,Search designs in My Designs with more than 100 designs in the list,Template_Management
45980,Search designs in My Designs with special characters,Template_Management
45981,Sort designs in My Designs by Name - default,Template_Management
45982,Sort designs in My Designs by Name (A to Z),Template_Management
45983,Sort designs in My Designs by Name (Z to A),Template_Management
45984,Filter designs in My Designs by Size - default,Template_Management
45985,Filter designs in My Designs by Size - different label sizes,Template_Management
45986,Filter designs in My Designs by Size - no design matched,Template_Management
45987,"Sort, Filter Zebra designs in Common Designs - Address category",Template_Management
45988,"Sort, Filter Zebra designs in Common Designs - Barcode category",Template_Management
45989,"Sort, Filter Zebra designs in Common Designs - File Folder category",Template_Management
45990,"Sort, Filter Zebra designs in Common Designs - Jewelry category",Template_Management
45991,"Sort, Filter Zebra designs in Common Designs - Multipurpose category",Template_Management
45992,"Sort, Filter Zebra designs in Common Designs - Name Badge category",Template_Management
45993,"Sort, Filter Zebra designs in Common Designs - Shipping category",Template_Management
45994,Filter and Search when mobile device lost network connection,Template_Management
45995,Copy Common Design to My Designs,Template_Management
45996,Copy to My Designs using same name from user's designs,Template_Management
45997,Copy to My Designs using same name from Zebra defined designs,Template_Management
45998,Copy to My Designs using invalid names,Template_Management
45999,Copy to My Designs using name with special characters,Template_Management
46000,Check design in Web Portal after Copy to My Designs via Mobile App,Template_Management
46001,Rename design after Copy to My Designs,Template_Management
46002,Duplicate design after Copy to My Designs,Template_Management
46003,Duplicate/Copy design to My Designs 2 times,Template_Management
46004,View design list after creating design using a different account,Template_Management
46005,Check design in Mobile App after editing design via Web Portal.,Template_Management
46006,Search designs in Common Designs - input text that does not match any of the Zebra categories and designs,Template_Management
46007,Search designs in Common Designs - input text that matches Zebra category and design,Template_Management
46008,Search designs in Common Designs - input text that matches Zebra category and NOT design,Template_Management
46009,Search designs in Common Designs - input text that matches Zebra design and NOT category,Template_Management
46010,Search designs in Common Designs with special characters,Template_Management
46011,Search designs in Zebra Category - input text that does not match any of the Zebra designs,Template_Management
46012,Search designs in Zebra Category - input text that matches one of the Zebra designs,Template_Management
46013,Search designs in Zebra Category - input keyword that matches multiple Zebra designs,Template_Management
46014,"Search, Filter and Sort designs in Zebra Category",Template_Management
46015,"Delete data source file, print design cannot work",Template_Management
46016,Check manual input data works,Template_Management
46017,Check Select some labels to print with data source works (with empty rows selected),Template_Management
46018,Check able to search rows on label range window to print when printing design with file connected,Template_Management
46019,search out some labels to print2,Template_Management
46020,Check label amount is correct,Template_Management
46021,"Data source file modified, print design still works",Template_Management
46022,"Switch data source file, print design works",Template_Management
46023,Data source data is invalid,Template_Management
46024,Print multiple copies of design with data source in My Designs,Template_Management
46025,View list of Recently Printed Designs after printing Zebra design to My Designs,Template_Management
46026,"Data source file removed, upload file in Update Data Connection page, print template still works",Template_Management
46027,"Print All in template with Google Contacts without empty columns connected, no google account login yet",Template_Management
46028,"Print selected in template with Google Contacts with empty columns connected, google account already login",Template_Management
46029,Print template with Empty Google Contacts connected,Template_Management
46030,"Print Template with Google Contacts, but login with different Google account",Template_Management
46031,Print Template when Google Contacts is updated,Template_Management
46032,"Print All in template with Office365 Contacts without empty columns connected, no 365 account login in yet",Template_Management
46033,"Print selected in template with Office365 Contacts with empty columns connected, Microsoft account already login",Template_Management
46034,Print template with Empty Office365 Contacts connected,Template_Management
46035,"Print Template with Office365 Contacts, but login with a different Microsoft account",Template_Management
46036,Print template when Office365 Contacts is updated,Template_Management
46037,"with 100+ template in my design, create a template save then print out via Mobile",Template_Management
46038,"With 100 + template on my Design, check can print out template in each page via mobile app",Template_Management
46039,"With 100+ template in my Design, duplicate one template then print out the duplicate template with Copies = 2 via Mobile App",Template_Management
46040,"With 100 + templates in my Design, copy a template from Common design, renamed the template then print out via Moible App",Template_Management
